"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"PC.aa.C28.1",0.0856046187463057,0.163205126056536,0.00595857526917784,-0.0206254693633401,-0.00194454205771461,0.0480984132806496,-0.0846035430557158,-0.0318553602309042
"PC.aa.C30.0",0.109164749994206,0.0164433908507128,0.0262018936722664,-0.00806434354645606,-0.00258990102965424,-0.037006808586186,0.00956360597660095,0.0668896573402626
"PC.aa.C32.0",0.107776396889418,-0.0481735488090193,0.0236756206252417,0.00848686492785477,-0.00854311325105852,-0.0113359888554534,0.0246127754090262,0.0312854054345011
"PC.aa.C32.1",0.108996320395921,0.0297497848729488,0.0131296078011809,0.00263942497350661,0.0241688725147991,-0.00392125552263431,0.00630402062884391,-0.00670142250214787
"PC.aa.C32.2",0.109282920157331,-0.00714402095347343,0.0349192439075683,-0.0124295905006108,0.0218373470966414,-0.00144238169004779,0.0136152719358952,0.00326459522879879
"PC.aa.C32.3",0.0844378370400963,0.0569345499117076,-0.0193712701028982,-0.103071146179774,0.187693394683085,0.233378304780039,0.0389484227540469,-0.0200806995770824
"PC.aa.C34.1",0.109463338214731,0.0011661026093045,0.0105489434066974,0.0196622294961659,0.0153461725320644,-0.0283771121778919,0.0225356785229606,-0.0451147417742484
"PC.aa.C34.2",0.108877269332077,0.0294828371845894,-0.00203644539781591,0.0143447159041054,0.0174075932860271,-0.0320798306961977,0.0103727096160715,-0.0474685329499653
"PC.aa.C34.3",0.107729456102996,0.0463658651437699,0.00535304732422111,0.0177328732221899,0.0196267649106114,-0.0404051471533478,-0.0118004760056243,0.0207989451880114
"PC.aa.C34.4",0.108453063695463,-0.0133636348271421,-0.044530641770718,-0.0242750129949797,0.00165396591025996,-0.030336677148418,-0.052384030993174,0.021529156585072
"PC.aa.C36.1",0.107946099887781,-0.0318537076204038,0.0314258694368563,0.0535503522441327,-0.00579571859156682,0.0231941524044581,0.00665987353649007,0.0200884650040588
"PC.aa.C36.2",0.107721735928131,0.043073968986009,-0.00232474260469203,0.016043119468939,-0.000578614336276775,-0.0508298503228066,0.0377329523519338,-0.00766871505019425
"PC.aa.C36.3",0.108875123711303,0.0330217436369489,0.000375400187122243,0.00342087264208527,0.0144419232062946,-0.0228745531067471,0.00803099639572338,0.0504191711785025
"PC.aa.C36.4",0.108783126250016,0.029919662970898,-0.00632554039463033,0.017987975432287,0.0202848198647731,-0.0339337608975954,0.00448195332025755,-0.00119602930774891
"PC.aa.C36.5",0.109261386673799,0.0158148071406122,0.000884580564961938,0.0195987632295493,0.0348199926170336,-0.00260801686191203,0.0199182154842453,0.0132894905059934
