"","Metabolite","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adjusted","fold_change"
"106","SM.C18.1",-0.951693685467233,-1.85608879265495,0.160451495693072,3,-2.58346586418114,0.680078493246671,"Paired t-test","two.sided",0.209127792139284,1.48870822041554
"107","SM.C20.2",0.114156263313191,0.165270238962015,0.879240428413351,3,-2.08403852776203,2.31235105438842,"Paired t-test","two.sided",0.893088396408389,0.993288590604027
"108","SM.C24.0",-1.64539553266696,-7.73192034562788,0.00449837333176675,3,-2.32263775705527,-0.968153308278645,"Paired t-test","two.sided",0.0289895170269412,7.44326777609682
"109","SM.C24.1",-1.60912963810759,-5.76742271404276,0.0103612367917016,3,-2.49704247637576,-0.721216799839423,"Paired t-test","two.sided",0.0445149432532364,4.91477272727273
"110","SM.C26.0",-1.52788771078796,-3.08942964842598,0.0537376356014433,3,-3.10177711868007,0.0460016971041604,"Paired t-test","two.sided",0.0890509389966774,8.7906976744186
"111","SM.C26.1",-1.22818488409938,-2.23397566868282,0.111583698595549,3,-2.97781559915187,0.521445830953105,"Paired t-test","two.sided",0.155948301651611,3.73333333333333
"112","Spermidine",-1.8694867270037,-53.2002471633001,1.46277545521317e-05,3,-1.98131968726923,-1.75765376673817,"Paired t-test","two.sided",0.000848409764023636,11.5329125338142
"113","Spermine",-1.86431976380763,-21.9866081840457,0.000205954475241809,3,-2.13417027892721,-1.59446924868806,"Paired t-test","two.sided",0.0079635730426833,5.53157474020783
"114","Thr",-1.54891947249161,-11.1835871562657,0.0015323788185773,3,-1.98968619461182,-1.1081527503714,"Paired t-test","two.sided",0.0203844724184986,17.2667829119442
"115","Tyr",-1.58184707069277,-10.7143759516901,0.00173826448346547,3,-2.05169649434082,-1.11199764704473,"Paired t-test","two.sided",0.0203844724184986,20.8086253369272
"116","Val",-1.79554826681159,-14.3509826106249,0.000733307364947995,3,-2.19372559743162,-1.39737093619156,"Paired t-test","two.sided",0.0170127308667935,38.6603773584906
